_id,description
11,"Wisata Blitar air terjun yang satu ini terletak di Desa Ngadirenggo, Kecamatan Wlingi, Kabupaten Blitar. Sama seperti wisata air terjun sebelumnya, akses menuju lokasi ini juga cukup menantang karena harus berjalan kaki melewati hutan belantara. Lokasinya yang tersembunyi menyebabkan wisata ini masih cukup asri."
12,"Objek wisata di Blitar ini merupakan sebuah air terjun yang cukup unik, karena bukan berada di sekitar perbukitan kapur, melainkan sebuah tebing breksi yang jarang dijumpai di wilayah ini. Wisata ini menjadi salah satu tempat wisata di Blitar terbaru dan cukup hits. Lokasi wisata ini terletak di Desa Balerejo, Kecamatan Panggungrejo, Kabupaten Blitar. Di tempat ini, kalian dapat menikmati segarnya air yang cukup jernih."
13,"Wisata air terjun kali ini terletak di Desa Purworejo, Kecamatan Wates, Kabupaten Blitar. Air terjun di sini cukup unik karena memiliki kontur tebing air terjun yang bergelombang, sehingga air yang jatuh dari ketinggian memecah menjadi berbagai bagian. Wisata ini sangat cocok bagi kalian yang ingin menghabiskan waktu untuk berendam di aliran air yang dingin dan segar."
14,"Masih berhubungan dengan air, kali ini kita akan menuju ke Desa Balulawang, Kecamatan Bakung, Kabupaten Blitar. Wisata baru di Blitar ini tergolong masih asri dan belum banyak dikunjungi oleh wisatawan. Di sini kalian dapat mandi di sebuah kolam yang jernih dan bersih. Sementara itu, di Curug Badun kalian akan melihat curug bertingkat dengan ketinggian sekitar 8 meter."
15,"Air Terjun Tirto Galuh Blitar adalahair terjun yang juga mulai terkenal akhir-akhir ini. Di tempat ini, kita bisa melihat air mengalir di atas bebatuan yang berlumut namun elok dipandang mata. Akses jalan untuk sampai keAir Terjun Tirto Galuh Blitar cukup jauh. Setelah naik motor dan memarkir motor seharga Rp2.000, Anda harus berjalan sekitar 400 meter untuk sampai di lokasi. Kalau sedang tidak beruntung, perjalanan sepanjang itu harus ditambah dengan jalanan yang becek pasca hujan."
16,"Lokasi Air Terjun Lawean ini terletak di Dusun Parang, atau berada di kawasan perkebunan Kawisari, Blitar. Akses menuju lokasi ini cukup mudah dan sudah terawat. Air terjun ini terbagi menjadi dua bagian, dan memiliki ketinggian aliran air sekitar dua puluh lima meter."
17,"Desa Wisata ini terletak di Desa Semen, atau sekitar 35 km dari pusat Kota Blitar. Desa Wisata ini terletak di kaki Gunung Kelud, sehingga menjadikan wilayah ini memiliki iklim yang sejuk. Selain itu, Desa Wisata ini menawarkan suasana pedesaan yang masih asri, jauh dari hiruk pikuk perkotaan. Wisata ini sangat cocok bagi kalian yang ingin keluar rutinitas perkotaan."
18,"Wisata alam gua ini terletak di Desa Tampakkepuh, Kecamatan Bakung, Kabupaten Blitar. Di tempat wisata ini, kalian dapat menikmati keunikan stalagmit stalaktit yang menjadi ornamen terpenting yang harus kalian lihat. Gua ini cukup terkenal dan menjadi salah satu destinasi unggulan Kabupaten Blitar, Jawa Timur. Berdasarkan kesaksian warga setempat, Gua ini pernah menjadi salah satu tempat persembunyian simpatisan Partai Komunis Indonesia (PKI)."
19,"Wisata alam Blitar ini cocok bagi kalian yang memiliki hobi mendaki gunung. Apabila kalian merasa cukup lelah untuk mendaki Gunung Kelud atau Semeru, pendakian ke Gunung Butak dapat kalian jadikan alternatif pendakian kalian. Wisata mini ini menawarkan pemandangan alam dari atas bukit dan lokasi camping ceria yang mengasyikkan. Kalian dapat mendaki Gunung Butak melalui basecamp Sirah Kencong yang terletak di Desa Ngadirenggo."
20,"Chenoa Water Play Kedawung adalah wahana bermain anak yang bertempat di Blitar. Sebagai sebuah wahana kolam renang, tempat wisata ini mempunyai perlengkapan yang cukup lengkap. Mulai dari penjagawater boom, komidi putar, panggung pementasan, pemancingan, dst. tersedia lengkap diChenoa Water Play Kedawung. Tempat ini cocok untuk Anda yang ingin berlibur di akhir pekan bersama keluarga,"
21,"Telaga Rambut Monte merupakan salah satu andalan tempat wisata di Blitar. Wisata ini menawarkan pemandangan telaga yang sangat jernih. Selain itu, daya tarik lainnya dari telaga ini adalah bangunan candi dan tempat petilasan yang masih sering digunakan untuk ritual. Pemandangan di sekitar lokasi juga tak kalah indah, kalian akan melihat hamparan perkebunan teh serta ladang persawahan yang subur. Lokasi wisata ini terdapat di Desa Krisik, atau 30 Km dari pusat Kota Blitar."
22,"Wahana keluarga yang satu ini terletak sekitar 500 meter dari makan Bung Karno, tepatnya di Jalan Kali Brantas, Kelurahan Bendo. Di tempat ini, kalian dapat menikmati fasilitas wahana air, seperti kolam renang, papan seluncur, dan masih banyak lagi. Tiket masuk wisata ini cukup murah, yaitu 10.000 pada weekday, dan 15.000 pada weekend. Murah bukan?"
23,"Sebagai gunung,Gunung Pegat Ponggok Srengat Blitar tak setinggi semeru atau gunung-gunung yang pretensius untuk dinaiki para pendaki. Sebenarnya Gunung Ponggok sudah mulai ramai sejak tahun 2000, namun akhir-akhir ini tempat wisata ini naik kembali karena suguhan pemandangan malam yang indah dari atas gunung."
24,"Kompleks percandian ini terletak di lereng Gunung Kelud, tepatnya di tepi Sungai Bladak. Candi ini merupakan salah satu candi Hindu peninggalan Kerajaan Majapahit. Saat ini, bangunan candi hanya tersisa bagian bawahnya saja. Selain itu, candi ini juga masih menyisakan dua buah arca, serta monumen bangunan punden berundak."
25,"Wisata Edukasi ini terletak ini di Kabupaten Blitar, yaitu di Jl. Banteng Blorok 18 Desa Plosorejo Kademangan Blitar. Di tempat ini, pengunjung dapat menikmati berbagai olahan coklat, mulai dari ice cream, mie coklat, hingga kue coklat. Tiket masuk wisata kuliner Blitar ini cukup murah, hanya Rp. 5.000,00. Destinasi Wisata Blitar Kampung Coklat ini menawarkan sensasi makan coklat yang tidak ada duanya."
26,"Taman Pecut Kota Blitar terletak di pusat kota Blitar, masih satu kompleks dengan Alun-alun Blitar.Seperti namanya, tempat ini memang mempunyai patung pecut yang ikonik. Patung inidibuat untuk menjadi simbol atas pusaka Samandiman yang dimiliki oleh Adipati Blitar. Di taman ini, Anda bisa menemukan atraksi air mancur di malam hari. Ragam polah kucuran air dipadu dengan permainan lampu membuat atraksi ini ditunggu banyak wisatawan yang tengah berkunjung di Blitar."
27,"DiSentul Green Park Blitar, Anda bisa menghabiskan waktu untuk bersantai di bawah pohon-pohon rindang di kota Blitar. Tempat ini memang dibuatagar masyarakat Blitar mempunyai kawasan yang asri dan penuh dengan pepohonan.Karena terbilang cukup baru, belum banyak orang yang tahu mengenai tempat ini. Hal tersebut ditambah karena akses menuju tempat ini agak tersembunyi, meski sebenarnya tempatnya tidak terlalu jauh dari makam Bung Karno."
28,"Kebonrojo Blitar adalah sebuah taman yang cocok untuk jalan-jalan bersantai bersama dengan keluarga. Berlokasi di jalan Diponegoro, tepatnya di depan SMAK Diponegoro, taman ini menyediakan wahana permainan ringan dan tanah yang lapang untuk bersantai. Selain permainan dan patung-patung, di taman ini juga terdapat tanaman dan hewan sungguhan seperti burung beo dan burung belibis."
29,"Dibangun oleh militer dengan alasan untuk mengenang pembantaian yang terjadi pada 1 Oktober 1965, monumen ini kini sering dikunjungi oleh wisatawan. Sejarah yang kelam memang menyelimuti tempat wisata ini, namun hal itu tidak mengurangi minat para wisatawan, asing maupun domestik untuk berkunjung di lokasi ini. Monumen yang diresmikan sejak Desember 1972 ini menjadi penanda bagi warga Blitar bahwa pernah ada pembantaian manusia yang dituduh makar oleh militer Indonesia."
30,"Wisata Blitar ini merupakan situs percandian yang tidak jauh dari kawasan Candi Penataran. Lokasi wisata ini terletak di Desa Modangan, Kecamatan Nglegok, Kabupaten Blitar. Pada kawasan situs arca warak ini, juga ditemukan beberapa artefak sejarah, di antaranya Jaladwara Kemuncak serta Lumpang."
31,"Objek wisata Blitar ini terletak di Desa Kotes, Kecamatan Gandusari, Kabupaten Blitar. Candi ini berdiri pada tahun 1302, dan masih memiliki keterkaitan dengan Candi Penataran. Candi ini memiliki dua kompleks bangunan, yaitu Candi I di bagian Barat, dan Candi II di bagian timur. Sama seperti candi lain di Blitar, Candi Kotes juga merupakan peninggalan kerajaan Majapahit."
32,"Siapa yang tidak mengenal sang proklamator negeri ini? Ya, benar sekali, beliau adalah Bung Karno. Perlu kalian tahu, Bung Karno merupakan presiden pertama Republik Indonesia, dan menjadi salah satu figur terpenting negeri ini. Beliau meninggal pada tahun 1970 dan di makamkan di Blitar. Saat ini, makam Bung Karno tidak pernah sepi dari para peziarah yang ingin menghormati jasa-jasa beliau. Apabila kalian ingin berkunjung ke tempat ini, dipersilahkan datang ke Desa Bendogerit, atau berjarak 3 km dari pusat Kota Blitar."
33,"Salah satu tempat wisata Blitar dekat stasiun adalah Alun-alun Blitar. Alun-alun ini hanya terletak kurang lebih 500an meter dari stasiun kereta api. Di tempat ini, kalian dapat menikmati wisata kuliner serta menikmati wisata Blitar malam hari. Di Alun-alun Blitar ini, terdapat berbagai fasilitas, di antaranya jogging track, serta fitness outdoor. Wisata di Kota Blitar ini merupakan alternatif lain apabila kalian tidak memiliki kesempatan untuk menjelajahi objek wisata yang lain. Tempat wisata di Blitar dekat stasiun ini sangat cocok digunakan untuk melepas penat setelah menempuh perjalanan yang panjang."
34,"Apabila kalian ingin melihat bagaimana sekawanan rusa di sekitar Kabupaten Blitar, kami sarankan Anda untuk menuju ke Maliran, Kecamatan Ponggok, Blitar. Di tempat ini, kalian dapat menikmati sensasi memberi makan rusa. dan juga out bound. dengan harga tiket masuk Rp. 10.000. dan tiket motor Rp.2000,- dan mobil Rp.5000,-"
35,"Candi sawentar terletak di Desa Sawentar, Kecamatan Kanigoro, Blitar, Jawa Timur. Bagaimana latar belakang candi ini? Wikipedia menjelaskan bahwa :<em>Di dalam Kitab Negarakertagama, Candi Sawentar disebut juga Lwa Wentar. Bangunan candi ini dahulunya merupakan sebuah kompleks percandian, karena disekitarnya masih ditemukan sejumlah pondasi yang terbuat dari bata, dan candi ini diduga didirikan pada awal berdirinya Kerajaan Majapahit. Candi yang terbuat dari batu andesit ini berukuran panjang 9,53 m, lebar 6,86 m dan tingginya 10,65 m. Pintu masuk menuju bilik berada di sebelah barat, dengan ornamen makara pada pipi tangga, sedangkan relung-relungnya terdapat pada setiap dinding luar tubuh candi. Di dalam ruangan bilik ditemukan akas arca dengan pahatan burung garuda, yang dikenal sebagai kendaraan Dewa Wisnu. Berdasarkan hal ini dapat diketahui bahwa Candi Sawentar merupakan bangunan suci yang berlatar belakang agama Hindu. Ketika berkunjung kesana, terlihat areal candi berada agak/sebagian di dalam tanah. Hal ini terlihat dari letak candi yang berada di bawah tanah.</em>"
36,"Prasasti Munggut merupakan prasasti yang terdapat di kecamatan wlingi kabupaten Blitar. bagimana sejarah prassti ini? Well, wikipedia sebagai rujukannya. Sejarah prasasti ini ada kaitannya dengan babadan. Apa itu babadan? Tentunya warga wlingi sudah paham dengan hal itu.<em>Tepatnya Babadan adalah kelurahan di kecamatan Wlingi, Blitar, Jawa Timur, Indonesia. Babadan terdiri dari 5 pedukuhan yaitu dukuh Gurit, Babadan, Darungan, Duren dan Tejo. Penduduk dari perbatasan dukuh Tejo dan Babadan kebanyakannya bekerja mencari batu di Sungai Lekso untuk menambah pendapatan. Dengan naungan dari Gunung Kelud, masyarakatnya cukup mampu untuk menghidupi dirinya sendiri dari sektor agraris.<br />Menurut legenda, nama Babadan diambil dari kata babad utan. Mbah Cokropati sebagai utusan dari Kerajaan Majapahit diberi mandat untuk membuka areal tersebut dengan membabad (menebang namun berwawasan lingkungan) utan(hutan) tersebut, karena akan digunakan untuk suatu hal. Sebagai pengingat dan warisan bagi keturunanya, Mbah Cokropati menamainya Babadan dan membuatkan prasasti bernama Prasasti Munggut (sekarang tidak terawat, terlantar di perempatan sebelah utara pasar Wlingi).</em>"
37,"Candi ini terdapat di desa Sumberjati Kecamatan kademangan. Ketika berkunjung kesana, saya mendapati bahwa candi ini sudah tidak berbentuk candi atau dengan kata lain bayak bagian yang tidak berada pada tempat yang semestinya. Dikutip dari<span class=skimlinks-unlinked>vivanews.com</span>,<em>candi ini merupakan perabuan raja Majapahit, yaitu Raden Wijaya. Di situs yang berdiri di areal 40 x 40 meter persegi ini tampak ratusan bahkan ribuan susunan batuan jenis andesit dan batu bata merah yang tidak tertata layaknya bangunan candi, hampir semua rata dengan tanah. Hanya beberapa bongkahan batu besar yang tersusun membentuk bangunan bagian dari candi.</em>"
38,"Candi Bacem terletak di dusun Cungkup, desa Bacem, kecamatan Sutojayan, kabupaten Blitar, Jawa Timur. Candi yang terbuat dari batu bata ini terdiri dari dua buah candi, yaitu candi Bacem I yang mempunyai ukuran tinggi 109 cm, panjang 310 cm, lebar 300 cm, dan Candi Bacem II yang berukuran tinggi 110 cm, panjang 540 cm dan lebarnya 500 cm. Bentuk dari kedua candi ini tidak beraturan karena susunan batu batanya sudah tidak menunjukkan profil yang jelas, dan hanya tinggal susunan batu bata pada pondasinya saja, sedangkan bagian tubuh dan atap candi sudah tidak ditemukan lagi."
39,"Candi Plumbangan adalah sebuah candi yang terletak di desa Plumbangan, kecamatan Doko, kabupaten Blitar, Jawa Timur. Bentuk bangunan candi ini berupa pintu gerbang paduraksa dengan puncak berbentuk kubus. Pintu gerbang ini terbuat dari batu andesit, dengan ukuran panjang 4.09 m, lebar 2,27 m dan tingginya 5,6 m."
40,"Candi Sumbernanas merupakan sebuah candi yang terletak di desa Candirejo, kecamatan Ponggok, kabupaten Blitar. Dalam laporan pada abad ke-19 M, candi ini disebut dengan nama Candi Genengan atau Candi Puton. Candi ini menghadap ke arah barat, sedangkan bilik candinya dalam keadaan kosong, dan di atas pintu masuk bilik candi tersebut dipahatkan angka 1271 Saka (1349 M)."
41,"Candi Wringin Branjang terletak di desa Gadungan, kecamatan Gandusari, kabupaten Blitar, Jawa Timur. Candi ini letaknya masih satu kompleks dengan situs Gadungan, jaraknya sekitar 100 m di sebelah barat situs Gadungan I. Candi yang terbuat dari batu andesit ini memiliki bentuk yang sangat sederhana."
42,"Candi Tepas terletak di Tepas, Kesamben, Blitar, Jawa Timur. Secara keseluruhan struktur bangunan candi ini telah rusak. Struktur bangunan yang tertinggal saat ini adalah bagian pondasi, kaki candi yang mempunyai ukuran panjang 11,25 m, lebar 7,75 m dan tangga naik yang menghadap ke barat."
43,"Candi Rambut Monte adalah sebuah candi yang terletak di desa Krisik, kecamatan Gandusari, kabupaten Blitar, Jawa Timur. Candi ini terbuat dari batu andesit dan berdenah segi empat, dengan berukuran panjang 292 cm, lebar 296 cm dan tingginya 85 cm dengan tangga naik berada di sisi barat. Bangunan candi hanya tinggal bagian kaki dan tubuhnya saja, sedangkan bagian atap candi telah mengalami keruntuhan."
44,"Candi Kalicilik adalah sebuah candi Hindu yang terletak di desa Candirejo, kecamatan Ponggok, kabupaten Blitar, Jawa Timur. Bangunan candi ini terbuat dari bata merah dan memiliki denah bujur sangkar dengan ukuran 6,8 m x 6,8 m, serta tingginya 8,3 cm. Candi ini terdiri atas tiga bagian yaitu candi, tubuh candi dan atap candi. Pintu candi menghadap ke arah barat dan di atasnya terdapat hiasan berupa kala."
45,Kolam Renang Lovina
46,"Kolam renang selalu menjadi favorit mengisi liburan bagi banyak orang, termasuk saya dan keluarga. Meskipun tidak setiap minggu, namun kami selalu menyempatkan waktu untuk mengajak anak-anak berenang saat tidak ada acara liburan ke luar kota. Anak-anak selalu antusias dan terlihat gembira saat berenang bersama keluarga."
47,"Kolam Renang Tirto Wulung berlokasi di Desa Bendowulung, Sanankulon, Blitar. Lokasinya yang agak masuk membuat saya dan keluarga harus bertanya kepada warga sekitar untuk menemukannya. Syukurlah dengan bantuan informasi dari warga dan papan petunjuk akhirnya kami dapat menemukan lokasinya. Cukup dengan tiket masuk Rp. 4.000,- / orang kita bisa berenang sepuasnya bersama keluarga."
48,kolam renang tirto agung tambakan di desa gandusari
49,"Tempat itu merupakan wisata Kolam Renang Kendedes, yang terletak di Desa Sragi RT 01 RW 01 Kecamatan Talun. Untuk memasuki kolam renang ini, kita membayar kontribusi sebesar Rp 3000. Namun apabila hari libur, tiket masuk wisata tersebut menjadi Rp 4000. Dilihat dari tampak luar, kolam renang ini terlihat cukup besar. Terdapat pula klub renang yang bernama<em>Sailfish Swimming Club.</em>"
50,Kolam renang umum Pace Ria terletak di Kota Blitar. Kolam renang umum Pace Ria bekerja di aktivitas Kolam renang umum.
51,"Pergi ke Kolam Renang itu belum tentu harus renang. Karena pergi ke kolam renang tidak di haruskan bisa renangkan. Ouh iya sampai lupa, ini Kolam Renang yang berada di Kota Lodoyo loch. Letaknya gak jauh dari Aloon Aloon Kota Lodoyo. Tepatnya di timur Koramil. Ini dia Kolam Renang Dolphin"
52,"Kolam renang TERBAIK Fasilitas lengkap di Kota Blitar. Dengan lokasi yang masih sangat asri sangat nyaman untuk hiburan keluarga yang hemat dan menyenangkan.
Alamat: Barat Pasar Cangkring, Ds. Gembongan, Kec. Ponggok, Kab. Blitar."
53,Kolam Renang Anak2 BU Anik terletak di Kota Blitar. Kolam Renang Anak2 BU Anik bekerja di aktivitas Kolam renang umum.
54,popoh waterpark terletak di Ds.Popoh Kecamatan Selopuro. lokasi tempat ini agak masuk ke pemukiman warga sekitar desa popoh yakni jarak dari kantor desa Popoh 300 meter ke utara sampai ketemu dengan pertigaan yang menunjuk arah menuju kolam renang. selain kolam renang tempat wisata ini kedepanya juga akan di bangun tempat untuk out bound keluarga.
55,Kolam Renang Asri Jaya Brongkos terletak di Kota Blitar. Kolam Renang Asri Jaya Brongkos bekerja di aktivitas Kolam renang umum.
56,"Kolam Renang Telaga Nirmala lebih dikenal dengan sebutan Kolam renang klampok, karena lokasinya yang berada di kelurahan Klampok, Kecamatan Sananwetan, Kota Blitar. Tepatnya berada di Jl. Halmahera, Klampok, Sananwetan, Kota Blitar, Jawa Timur 66136. Kolam renang ini buka setiap hari kecuali hari Rabu, karena setiap hari rabu, kolam renang akan dikuras. Apabila anda ingin menikmati kesegaran kolam ini, anda bisa datang pada hari Kamis pagi.
Jam buka kolam renang klampok ini antara jam 07.00 sampai dengan pukul 16.30. Khusus hari kamis, kolam renang ini sudah buka mulai pukul 05.00 pagi. Sedangkan untuk tiket masuk kolam renang di Blitar ini adalah 4 ribu rupiah per orang dan parkir roda dua 2 ribu rupiah. Sedangkan parkir kendaraan roda empat 5ribu rupiah.
Kolam renang klampok terbagi menjadi tigakolam, dimana satu kolam khusus untukanak balita, satu kolam untuk anak-anak dan kolam terbesar untuk orang dewasa. Untuk kolam dewasa, titik terdalam sekitar 150cm. Dengan harga tiket yang terjangkau, telaga nirmala ini sangat cocok untuk semua umur baik yang sedang belajar maupun yang sudah mahir."
57,Kranggan Kolam Renang
58,Kolam Renang Taman Air Surga (Kranggan)
59,Kolam Renang Telaga Tirta 2
60,Kolam Renang Khusus Wanita Dan Anak
61,Sumber Udel dulu dikenal sebagai salah satu kolam renang terbesar di Kota Blitar.  Beberaepa tahun belakangan kolam renang ini telah di renovasi menjadi sebuah waterpark terbesar di Blitar. Kolam renang dan waterpark sumber udel ini sangat cocok dijadikan salah satu destinasi ketika anda sedang menikmati liburan di Blitar bersama keluarga maupun anak anak.
62,Laguna Thematic Park merupakan sebuah wahana keluarga untuk berlibur dan menikmati dinginnya air di kolam renang. Tempat ini sedang dalam masa pengemabangan dan telah terdapat dua kolam renang dan permainan anak serta satu kolam renang besar untuk yang dewasa. Kedepannya akan banyak lagi permainan dan wahana baru.
63,"Terletak di daerah Blitar yang bersejarah, Patria Palace Hotel berjarak 3 menit jalan kaki dari stasiun pusat kota. Hotel ini menyediakan layanan meja depan 24 jam dan meenawarkan sebuah restoran. Semua kamar ber-AC-nya memiliki kamar mandi pribadi. Wi-Fi gratis tersedia di seluruh area bangunan.
Tempat-tempat wisata, seperti makam mantan Presiden Indonesia Soekarno, berjarak kira-kira 15 menit naik becak dari Patria Palace. Bandara Abdul Rachman Saleh di Malang dapat dicapai dalam 2 jam berkendara dari hotel, yang menawarkan layanan penjemputan bandara dengan biaya tambahan.
Memiliki lantai ubin, masing-masing kamarnya ber-AC dan bermandikan cahaya yang hangat. Kamar dilengkapi dengan minibar, kulkas, dan TV dengan saluran satelit. Fasilitas shower, handuk, dan peralatan mandi gratis terdapat di dalam kamar mandi.
Patria Palace Hotel memiliki sebuah kafe, lounge, dan ruang rapat. Layanan lain yang ditawarkan oleh hotel ini termasuk menyetrika, binatu, dan layanan kamar. Selain ruang parkir gratis, hotel juga menawarkan sebuah taman yang indah."
64,"Patria Garden Hotel terletak di Blitar, 5 menit berkendara dari Sumber Udel Water Park. Dikelilingi oleh taman, hotel ini menawarkan sebuah restoran dan kamar-kamar ber-AC dengan kamar mandi pribadi. Tersedia meja depan 24 jam dan Wi-Fi gratis.
Pemakaman Mantan Presiden Soekarno berjarak 10 menit berkendara dari Patria Garden Hotel. Bandara Abdul Rachman Saleh Malang dapat dicapai dalam 2 jam berkendara dari hotel. Antar-jemput bandara dapat disediakan dengan biaya tambahan.
Kamar-kamarnya yang berperabotan simpel dilengkapi dengan lemari dan TV dengan saluran satelit. Fasilitas shower dan perlengkapan mandi gratis disediakan di kamar mandi dalamnya.
Memiliki kafe dan taman bermain anak-anak, Patria Garden Hotel menawarkan penyewaan mobil dan layanan binatu dengan biaya tambahan. Anda dapat membaca koran atau menitipkan bagasi di lobi. Tempat parkir gratis tersedia di hotel ini."
65,"Terletak di daerah Blitar yang bersejarah, Patria Palace Hotel berjarak 3 menit jalan kaki dari stasiun pusat kota. Hotel ini menyediakan layanan meja depan 24 jam dan meenawarkan sebuah restoran. Semua kamar ber-AC-nya memiliki kamar mandi pribadi. Wi-Fi gratis tersedia di seluruh area bangunan.
Tempat-tempat wisata, seperti makam mantan Presiden Indonesia Soekarno, berjarak kira-kira 15 menit naik becak dari Patria Palace. Bandara Abdul Rachman Saleh di Malang dapat dicapai dalam 2 jam berkendara dari hotel, yang menawarkan layanan penjemputan bandara dengan biaya tambahan.
Memiliki lantai ubin, masing-masing kamarnya ber-AC dan bermandikan cahaya yang hangat. Kamar dilengkapi dengan minibar, kulkas, dan TV dengan saluran satelit. Fasilitas shower, handuk, dan peralatan mandi gratis terdapat di dalam kamar mandi."
